"","Date","Value","Index"
"1236",1913-09-01,26.8,"ENSO"
"1385",1913-10-01,26.76,"ENSO"
"1534",1913-11-01,27.45,"ENSO"
"1683",1913-12-01,27.43,"ENSO"
"45",1914-01-01,27.28,"ENSO"
"194",1914-02-01,27.56,"ENSO"
"343",1914-03-01,27.58,"ENSO"
"492",1914-04-01,28.46,"ENSO"
"641",1914-05-01,27.87,"ENSO"
"790",1914-06-01,27.77,"ENSO"
"939",1914-07-01,27.75,"ENSO"
"1088",1914-08-01,27.8,"ENSO"
"1237",1914-09-01,27.43,"ENSO"
"1386",1914-10-01,26.99,"ENSO"
"1535",1914-11-01,26.96,"ENSO"
"1684",1914-12-01,27.27,"ENSO"
"46",1915-01-01,27.46,"ENSO"
"195",1915-02-01,27.41,"ENSO"
"344",1915-03-01,27.75,"ENSO"
"493",1915-04-01,28.24,"ENSO"
"642",1915-05-01,28.38,"ENSO"
"791",1915-06-01,28.78,"ENSO"
"940",1915-07-01,27.29,"ENSO"
"1089",1915-08-01,26.93,"ENSO"
"1238",1915-09-01,26.92,"ENSO"
"1387",1915-10-01,26.97,"ENSO"
"1536",1915-11-01,26.51,"ENSO"
"1685",1915-12-01,26.36,"ENSO"
"47",1916-01-01,26.46,"ENSO"
"196",1916-02-01,26.16,"ENSO"
"345",1916-03-01,26.72,"ENSO"
"494",1916-04-01,27.14,"ENSO"
"643",1916-05-01,27.64,"ENSO"
"792",1916-06-01,27.32,"ENSO"
"941",1916-07-01,26.12,"ENSO"
"1090",1916-08-01,25.39,"ENSO"
"1239",1916-09-01,25.39,"ENSO"
"1388",1916-10-01,25.37,"ENSO"
"1537",1916-11-01,24.93,"ENSO"
"1686",1916-12-01,24.95,"ENSO"
"48",1917-01-01,25.02,"ENSO"
"197",1917-02-01,25.56,"ENSO"
"346",1917-03-01,26.62,"ENSO"
"495",1917-04-01,27.48,"ENSO"
"644",1917-05-01,27.57,"ENSO"
"793",1917-06-01,27.65,"ENSO"
"942",1917-07-01,27.18,"ENSO"
"1091",1917-08-01,27.03,"ENSO"
"1240",1917-09-01,26.73,"ENSO"
"1389",1917-10-01,26.77,"ENSO"
"1538",1917-11-01,26.23,"ENSO"
"1687",1917-12-01,25.87,"ENSO"
"49",1918-01-01,25.74,"ENSO"
"198",1918-02-01,25.94,"ENSO"
"347",1918-03-01,26.3,"ENSO"
"496",1918-04-01,27.21,"ENSO"
"645",1918-05-01,27.7,"ENSO"
"794",1918-06-01,28.06,"ENSO"
"943",1918-07-01,27.15,"ENSO"
"1092",1918-08-01,27,"ENSO"
"1241",1918-09-01,27.16,"ENSO"
"1390",1918-10-01,27.66,"ENSO"
"1539",1918-11-01,27.89,"ENSO"
"1688",1918-12-01,27.89,"ENSO"
"50",1919-01-01,28.18,"ENSO"
"199",1919-02-01,28,"ENSO"
"348",1919-03-01,28.16,"ENSO"
"497",1919-04-01,28.46,"ENSO"
"646",1919-05-01,28.49,"ENSO"
"795",1919-06-01,28.29,"ENSO"
"944",1919-07-01,27.63,"ENSO"
"1093",1919-08-01,27.5,"ENSO"
"1242",1919-09-01,27.26,"ENSO"
"1391",1919-10-01,26.87,"ENSO"
"1540",1919-11-01,26.29,"ENSO"
"1689",1919-12-01,26.93,"ENSO"
"51",1920-01-01,27.22,"ENSO"
"200",1920-02-01,27.37,"ENSO"
"349",1920-03-01,27.79,"ENSO"
"498",1920-04-01,27.61,"ENSO"
"647",1920-05-01,27.66,"ENSO"
"796",1920-06-01,27.98,"ENSO"
"945",1920-07-01,27.37,"ENSO"
"1094",1920-08-01,27.01,"ENSO"
"1243",1920-09-01,27.02,"ENSO"
"1392",1920-10-01,27.22,"ENSO"
"1541",1920-11-01,26.57,"ENSO"
"1690",1920-12-01,26.57,"ENSO"
"52",1921-01-01,27.01,"ENSO"
"201",1921-02-01,26.25,"ENSO"
"350",1921-03-01,25.84,"ENSO"
"499",1921-04-01,27.22,"ENSO"
"648",1921-05-01,26.94,"ENSO"
"797",1921-06-01,27.47,"ENSO"
"946",1921-07-01,26.95,"ENSO"
"1095",1921-08-01,26.59,"ENSO"
"1244",1921-09-01,26.58,"ENSO"
"1393",1921-10-01,26.77,"ENSO"
"1542",1921-11-01,25.62,"ENSO"
"1691",1921-12-01,26.09,"ENSO"
"53",1922-01-01,26.04,"ENSO"
"202",1922-02-01,26.69,"ENSO"
"351",1922-03-01,27.33,"ENSO"
"500",1922-04-01,27.23,"ENSO"
"649",1922-05-01,28.09,"ENSO"
"798",1922-06-01,27.25,"ENSO"
"947",1922-07-01,26.78,"ENSO"
"1096",1922-08-01,26.09,"ENSO"
"1245",1922-09-01,26.38,"ENSO"
"1394",1922-10-01,26.48,"ENSO"
"1543",1922-11-01,26.34,"ENSO"
"1692",1922-12-01,26.06,"ENSO"
"54",1923-01-01,26.17,"ENSO"
"203",1923-02-01,26,"ENSO"
"352",1923-03-01,26.41,"ENSO"
"501",1923-04-01,27.22,"ENSO"
"650",1923-05-01,27.62,"ENSO"
"799",1923-06-01,27.54,"ENSO"
"948",1923-07-01,27.03,"ENSO"
"1097",1923-08-01,27.07,"ENSO"
"1246",1923-09-01,27.4,"ENSO"
"1395",1923-10-01,27.52,"ENSO"
"1544",1923-11-01,27.52,"ENSO"
"1693",1923-12-01,27.6,"ENSO"
"55",1924-01-01,27.04,"ENSO"
"204",1924-02-01,27.39,"ENSO"
"353",1924-03-01,27.65,"ENSO"
