year,idx,precipitation,maxtemp,mintemp,windspeed
1986,9,108.68,22.89,7.73,1.70
1986,10,26.30,21.85,6.09,1.56
1986,11,23.17,17.48,2.44,1.99
1986,12,103.63,11.04,-0.45,2.45
1987,1,201.93,9.43,-2.15,2.71
1987,2,167.07,13.11,-0.08,2.24
1987,3,272.02,12.52,1.76,2.10
1987,4,23.60,22.52,6.32,1.62
1987,5,8.90,25.04,9.05,2.13
1987,6,2.40,29.29,12.04,2.00
1987,7,3.52,27.89,10.83,2.46
1987,8,0.00,32.28,13.15,1.62
1987,9,0.00,29.27,10.78,1.66
1987,10,27.67,25.93,9.39,1.05
1987,11,172.53,14.08,3.13,1.91
1987,12,477.20,7.42,0.34,3.37
1988,1,271.38,9.98,0.60,2.67
1988,2,14.68,17.30,2.10,2.98
1988,3,32.75,18.19,2.63,1.71
1988,4,145.65,18.96,5.72,1.84
1988,5,80.47,20.93,6.34,2.15
1988,6,28.42,26.55,10.57,2.00
1988,7,0.00,34.05,14.87,2.07
1988,8,0.00,32.38,11.89,1.88
1988,9,0.00,29.77,9.93,1.72
1988,10,1.75,26.13,7.10,1.08
1988,11,333.97,12.31,1.83,1.97
1988,12,185.15,10.52,-1.50,2.85
1989,1,79.15,11.46,-3.47,2.67
1989,2,64.15,10.48,-2.23,2.19
1989,3,477.05,13.57,3.30,2.00
1989,4,83.00,20.88,6.53,1.61
1989,5,16.48,23.10,7.11,2.15
1989,6,12.90,27.68,11.30,2.41
1989,7,0.00,31.04,13.20,2.41
1989,8,0.22,30.05,12.32,1.89
1989,9,77.25,26.48,10.41,1.34
1989,10,198.75,20.29,7.49,1.93
1989,11,72.77,16.76,3.21,2.19
1989,12,2.88,14.81,0.64,2.65
1990,1,292.02,10.19,0.22,2.47
1990,2,136.43,10.64,-1.82,2.38
1990,3,87.62,16.52,3.24,1.34
1990,4,35.58,21.04,7.00,1.84
1990,5,189.13,20.96,7.84,2.33
1990,6,3.33,26.81,10.60,2.33
1990,7,1.83,32.06,13.89,2.22
1990,8,5.43,29.48,13.29,2.20
1990,9,8.40,27.99,10.48,1.40
1990,10,47.30,23.42,7.61,1.35
1990,11,31.65,15.93,0.81,2.06
1990,12,50.85,9.00,-3.59,2.45
1991,1,109.50,12.30,-1.37,2.28
1991,2,108.20,16.86,2.98,2.47
1991,3,582.38,10.19,-0.61,2.90
1991,4,48.18,16.80,2.28,1.82
1991,5,44.57,20.09,4.73,2.40
1991,6,27.75,25.85,8.69,2.27
1991,7,0.00,32.64,13.85,2.10
1991,8,0.00,30.09,11.06,2.19
1991,9,0.32,31.81,11.16,1.36
1991,10,95.53,26.32,8.06,1.94
1991,11,45.63,16.47,1.74,2.12
1991,12,173.15,11.97,-1.46,3.03
1992,1,131.35,10.90,-1.58,3.16
1992,2,397.18,12.99,2.12,3.13
1992,3,169.32,15.31,2.20,1.51
1992,4,89.18,20.60,4.66,1.63
1992,5,9.48,27.55,8.82,1.87
1992,6,76.30,27.74,10.44,2.35
1992,7,0.35,29.94,11.87,2.32
1992,8,0.98,33.09,12.70,2.05
1992,9,0.00,29.47,11.58,1.47
1992,10,139.00,23.69,8.50,1.63
1992,11,23.08,14.94,2.40,1.74
1992,12,420.45,8.29,-1.19,3.40
1993,1,518.68,8.29,-1.00,3.17
1993,2,333.20,9.61,0.44,3.16
1993,3,174.12,16.23,5.08,1.56
1993,4,111.90,16.71,4.05,1.68
1993,5,84.95,21.78,7.20,1.99
1993,6,81.68,26.02,9.96,2.30
1993,7,0.03,30.24,11.80,2.09
1993,8,20.57,30.41,11.15,1.80
1993,9,0.00,29.31,8.96,1.47
1993,10,64.10,22.52,6.35,1.44
1993,11,99.72,15.47,1.21,2.34
1993,12,244.20,10.52,0.26,2.84
1994,1,130.18,13.41,0.99,2.85
1994,2,262.67,10.48,-0.04,2.57
1994,3,32.05,17.48,3.43,1.75
1994,4,125.02,19.08,4.81,1.77
1994,5,59.42,22.11,7.88,1.80
1994,6,6.43,28.46,10.13,2.11
1994,7,0.00,33.60,12.91,2.16
1994,8,0.00,32.70,11.34,1.98
1994,9,1.92,29.33,10.86,1.45
1994,10,17.62,21.99,5.33,1.39
1994,11,213.38,10.05,-0.06,2.42
1994,12,293.85,8.55,0.13,2.36
1995,1,937.40,8.53,2.98,3.57
1995,2,50.95,15.78,3.06,1.94
1995,3,629.50,11.96,2.56,2.81
1995,4,293.42,16.50,3.83,1.89
1995,5,110.85,19.99,7.10,1.84
1995,6,102.57,25.46,10.10,1.96
1995,7,0.10,30.64,13.24,1.82
1995,8,0.00,31.98,13.33,1.47
1995,9,0.00,29.73,11.06,1.41
1995,10,0.00,25.00,7.13,1.52
1995,11,6.85,19.09,4.78,1.07
1995,12,458.80,11.07,1.88,2.32
1996,1,303.43,11.25,0.69,2.53
1996,2,351.35,12.88,2.73,2.51
1996,3,142.65,16.80,1.88,2.06
1996,4,160.20,18.66,3.80,2.15
1996,5,159.55,22.45,7.06,2.49
1996,6,23.07,29.21,12.38,1.84
1996,7,0.20,34.02,16.38,2.10
1996,8,0.00,34.04,15.23,1.86
1996,9,21.63,28.06,10.19,1.57
1996,10,87.47,22.10,6.48,1.98
1996,11,164.85,15.38,3.49,2.14
1996,12,778.58,10.18,2.56,3.45
1997,1,493.90,10.72,1.30,2.70
1997,2,18.05,14.87,1.44,1.98
1997,3,84.38,18.82,4.13,1.63
1997,4,34.80,19.43,5.19,2.38
1997,5,18.15,26.33,10.49,2.20
1997,6,37.37,28.22,11.50,2.37
1997,7,1.25,32.79,14.16,2.00
1997,8,30.03,30.90,13.52,1.99
1997,9,13.75,28.04,11.66,1.56
1997,10,120.55,21.84,6.56,1.96
1997,11,319.35,13.98,4.74,1.86
1997,12,610.28,10.30,1.86,3.53
1998,1,639.57,9.33,2.73,2.71
1998,2,626.93,8.07,1.04,2.68
1998,3,172.10,15.12,2.22,1.70
1998,4,164.08,15.94,3.45,1.66
1998,5,233.33,15.90,5.34,2.08
1998,6,61.40,24.42,10.21,2.03
1998,7,0.00,32.55,14.01,1.94
1998,8,0.00,34.26,13.79,1.56
1998,9,13.10,29.22,12.06,1.45
1998,10,56.00,21.71,6.32,2.20
1998,11,343.45,11.94,2.28,1.89
1998,12,103.70,10.05,-1.57,2.41
1999,1,204.80,11.72,0.15,2.67
1999,2,379.77,9.68,0.25,2.16
1999,3,130.95,12.49,0.47,1.91
1999,4,92.18,18.50,3.03,2.89
1999,5,7.07,24.14,6.54,2.61
1999,6,9.28,27.62,9.50,2.79
1999,7,0.00,31.41,12.06,2.45
1999,8,4.43,30.08,12.26,2.20
1999,9,0.00,30.29,11.08,1.19
1999,10,77.68,25.44,7.65,1.53
1999,11,190.25,15.62,3.92,1.62
1999,12,43.10,12.96,-0.14,2.50
2000,1,324.37,9.95,0.49,2.09
2000,2,572.92,11.02,1.95,2.82
2000,3,139.05,15.69,2.18,1.94
2000,4,98.40,20.77,5.37,2.07
2000,5,33.47,23.38,7.68,2.46
2000,6,17.50,30.50,12.46,2.35
2000,7,0.00,30.12,12.69,2.56
2000,8,0.08,32.10,13.73,2.10
2000,9,16.50,27.99,11.65,1.54
2000,10,177.57,20.82,7.73,1.66
2000,11,54.38,12.62,0.62,1.72
2000,12,80.53,12.89,1.64,2.20
2001,1,221.08,11.18,-0.29,2.76
2001,2,308.88,10.49,-0.05,2.85
2001,3,106.70,18.26,3.72,1.71
2001,4,114.33,16.97,2.92,2.09
2001,5,1.33,28.89,10.79,1.98
2001,6,12.15,29.07,11.68,2.34
2001,7,1.83,32.50,15.06,2.39
2001,8,0.00,33.65,14.17,2.07
2001,9,18.42,30.34,12.39,1.36
2001,10,90.95,25.90,9.10,1.45
2001,11,331.55,13.79,4.57,1.95
2001,12,496.73,8.52,1.65,2.32
2002,1,195.73,9.24,-0.72,2.10
2002,2,92.90,14.83,1.66,2.40
2002,3,139.85,14.77,1.34,1.92
2002,4,58.30,19.30,4.84,2.20
2002,5,30.50,22.81,8.02,2.33
2002,6,0.00,30.26,12.90,2.63
2002,7,1.05,33.77,15.76,2.10
2002,8,0.00,32.08,13.49,2.07
2002,9,0.00,29.85,11.20,1.59
2002,10,0.00,24.03,7.53,1.47
2002,11,155.90,16.93,4.22,2.62
2002,12,899.35,9.49,1.69,2.80
2003,1,247.05,13.36,4.06,1.93
2003,2,111.90,13.41,0.02,1.93
2003,3,167.70,15.42,3.20,1.87
2003,4,383.25,13.72,2.39,2.50
2003,5,75.12,22.20,8.05,2.24
2003,6,1.45,30.07,12.69,2.45
2003,7,0.12,34.42,16.31,2.24
2003,8,11.88,30.44,13.46,1.77
